GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Rechizite de birou > Panouri, flipchart-uri si accesorii > Accesorii pentru table;Rechizite de birou;Panouri, flipchart-uri si accesorii;Accesorii pentru table;EXISTING;19;69
Rechizite de birou > Panouri, flipchart-uri si accesorii > Blocuri pentru flipchart;Rechizite de birou;Panouri, flipchart-uri si accesorii;Blocuri pentru flipchart;EXISTING;3;69
Rechizite de birou > Panouri, flipchart-uri si accesorii > Table din pluta;Rechizite de birou;Panouri, flipchart-uri si accesorii;Table din pluta;EXISTING;11;69
Rechizite de birou > Panouri, flipchart-uri si accesorii > Table flipchart;Rechizite de birou;Panouri, flipchart-uri si accesorii;Table flipchart;EXISTING;7;69
Rechizite de birou > Panouri, flipchart-uri si accesorii > Table magnetice;Rechizite de birou;Panouri, flipchart-uri si accesorii;Table magnetice;EXISTING;19;69
Rechizite de birou > Panouri, flipchart-uri si accesorii > Table magnetice din sticla;Rechizite de birou;Panouri, flipchart-uri si accesorii;Table magnetice din sticla;EXISTING;4;69
Rechizite de birou > Panouri, flipchart-uri si accesorii > Table pentru creta;Rechizite de birou;Panouri, flipchart-uri si accesorii;Table pentru creta;EXISTING;6;69
Rechizite de birou > Perforatoare;Rechizite de birou;Perforatoare;;EXISTING;42;65
Rechizite de birou > Pixuri si mine > Cutii pentru pixuri;Rechizite de birou;Pixuri si mine;Cutii pentru pixuri;EXISTING;2;458
Rechizite de birou > Pixuri si mine > Instrumente de scris Premium;Rechizite de birou;Pixuri si mine;Instrumente de scris Premium;EXISTING;40;458
Rechizite de birou > Pixuri si mine > Mine pentru pixuri;Rechizite de birou;Pixuri si mine;Mine pentru pixuri;EXISTING;29;458
Rechizite de birou > Pixuri si mine > Pix cu bila;Rechizite de birou;Pixuri si mine;Pix cu bila;EXISTING;33;458
Rechizite de birou > Pixuri si mine > Pix cu mecanism;Rechizite de birou;Pixuri si mine;Pix cu mecanism;EXISTING;22;458
Rechizite de birou > Pixuri si mine > Pix cu radiera si mine;Rechizite de birou;Pixuri si mine;Pix cu radiera si mine;EXISTING;12;458
Rechizite de birou > Pixuri si mine > Pix pentru logotip;Rechizite de birou;Pixuri si mine;Pix pentru logotip;EXISTING;17;458
Rechizite de birou > Pixuri si mine > Pix ulei si semi-gel;Rechizite de birou;Pixuri si mine;Pix ulei si semi-gel;EXISTING;129;458
Rechizite de birou > Pixuri si mine > Pixuri creativitate;Rechizite de birou;Pixuri si mine;Pixuri creativitate;EXISTING;32;458
Rechizite de birou > Pixuri si mine > Pixuri gel si rollere;Rechizite de birou;Pixuri si mine;Pixuri gel si rollere;EXISTING;25;458
Rechizite de birou > Pixuri si mine > Pixuri pe suport adeziv;Rechizite de birou;Pixuri si mine;Pixuri pe suport adeziv;EXISTING;1;458
Rechizite de birou > Pixuri si mine > Pixuri pentru copii;Rechizite de birou;Pixuri si mine;Pixuri pentru copii;EXISTING;36;458
